Voltage (V),Frequency (Hz),Current (uA)
3.604162268,12176848,3692
3.604162268,12176848,3693
3.604162268,12176872,3692
3.599274682,12176872,3692
3.604162268,12176872,3692
3.604162268,12176872,3692
3.601718475,12176892,3692
3.599274682,12176892,3692
3.604162268,12176872,3692
3.601718475,12176872,3692
3.599274682,12176828,3690
3.599274682,12176788,3690
3.599274682,12176788,3688
3.599274682,12176732,3686
3.59683089,12176716,3685
3.59683089,12176720,3684
3.594387097,12176728,3682
3.594387097,12176788,3681
3.594387097,12176792,3679
3.594387097,12176844,3678
3.589499511,12176880,3676
3.589499511,12176912,3674
3.589499511,12177056,3673
3.587055719,12177056,3671
3.582168133,12177088,3670
3.582168133,12177140,3666
3.582168133,12177136,3665
3.582168133,12177136,3664
3.577280548,12177128,3662
3.57972434,12177132,3661
3.574836755,12177136,3658
3.577280548,12177136,3658
3.572392962,12177156,3655
3.572392962,12177168,3654
3.569949169,12177168,3652
3.567505377,12177200,3649
3.565061584,12177200,3647
3.565061584,12177220,3645
3.562617791,12177312,3642
3.565061584,12177284,3642
3.560173998,12177304,3640
3.560173998,12177348,3638
3.560173998,12177348,3636
3.560173998,12177360,3635
3.557730206,12177348,3633
3.555286413,12177348,3632
3.55284262,12177348,3630
3.550398827,12177336,3628
3.550398827,12177344,3626
3.550398827,12177344,3624
3.545511241,12177344,3622
3.545511241,12177336,3622
3.545511241,12177308,3622
3.545511241,12177284,3620
3.545511241,12177260,3619
3.540623656,12177180,3617
3.543067449,12177140,3615
3.540623656,12177120,3613
3.538179863,12177076,3611
3.538179863,12177120,3610
3.53573607,12177124,3608
3.53573607,12177152,3606
3.533292278,12177192,3606
3.53573607,12177192,3604
3.530848485,12177204,3602
3.528404692,12177212,3600
3.530848485,12177212,3598
3.528404692,12177212,3596
3.525960899,12177200,3594
3.523517107,12177200,3592
3.523517107,12177200,3590
3.521073314,12177192,3588
3.521073314,12177200,3586
3.516185728,12177212,3585
3.516185728,12177224,3583
3.513741936,12177280,3582
3.516185728,12177284,3581
3.513741936,12177308,3578
3.511298143,12177376,3577
3.50885435,12177380,3576
3.506410557,12177404,3574
3.50885435,12177420,3572
3.506410557,12177424,3570
3.503966765,12177424,3569
3.503966765,12177428,3567
3.501522972,12177424,3566
3.506410557,12177424,3564
3.499079179,12177460,3562
3.499079179,12177468,3561
3.499079179,12177524,3558
3.499079179,12177588,3556
3.496635386,12177592,3555
3.494191594,12177608,3554
3.494191594,12177604,3552
3.491747801,12177604,3550
3.491747801,12177604,3548
3.486860215,12177584,3546
3.486860215,12177584,3545
3.486860215,12177584,3543
3.48197263,12177584,3540
3.48197263,12177592,3538
3.48197263,12177592,3537
3.479528837,12177612,3535
3.479528837,12177648,3534
3.477085044,12177668,3533
3.477085044,12177776,3530
3.477085044,12177908,3529
3.474641251,12177932,3527
3.472197458,12178016,3526
3.472197458,12178020,3525
3.469753666,12178020,3523
3.467309873,12178020,3521
3.467309873,12177940,3519
3.467309873,12177940,3518
3.46486608,12177936,3516
3.467309873,12177812,3514
3.46486608,12177808,3513
3.462422287,12177768,3511
3.462422287,12177792,3510
3.457534702,12177824,3508
3.455090909,12177836,3506
3.457534702,12177936,3504
3.455090909,12178008,3503
3.452647116,12178024,3502
3.452647116,12178116,3500
3.452647116,12178168,3499
3.452647116,12178172,3498
3.447759531,12178148,3497
3.447759531,12178064,3495
3.447759531,12177992,3494
3.445315738,12177804,3492
3.445315738,12177560,3490
3.442871945,12177484,3488
3.442871945,12177252,3486
3.442871945,12177060,3484
3.440428153,12177040,3482
3.43798436,12176952,3481
3.435540567,12176928,3478
3.43798436,12176928,3477
3.433096774,12176928,3474
3.433096774,12176932,3473
3.430652982,12176928,3471
3.430652982,12176924,3470
