Voltage (V),Frequency (Hz),Time (uA),,
3.599274682,15796892,4725,17006.57287,0.017006573
3.601718475,15796052,4725,,
3.599274682,15795836,4725,,
3.601718475,15796100,4724,,
3.59683089,15797180,4724,,
3.599274682,15796028,4723,,
3.59683089,15796964,4721,,
3.594387097,15798908,4720,,
3.59683089,15798812,4720,,
3.594387097,15796604,4719,,
3.594387097,15799724,4718,,
3.594387097,15799748,4718,,
3.59683089,15799748,4717,,
3.594387097,15797828,4716,,
3.591943304,15800588,4715,,
3.59683089,15799988,4714,,
3.594387097,15800972,4713,,
3.591943304,15799844,4712,,
3.589499511,15800540,4711,,
3.589499512,15801476,4710,,
3.589499511,15801548,4709,,
3.589499511,15801548,4709,,
3.589499511,15808700,4707,,
3.587055719,15795860,4705,,
3.589499511,15801716,4705,,
3.584611926,15802916,4703,,
3.582168133,15803876,4702,,
3.57972434,15802772,4700,,
3.582168133,15803108,4699,,
3.582168133,15803708,4698,,
3.582168133,15804380,4697,,
3.582168133,15805172,4696,,
3.57972434,15805196,4694,,
3.577280548,15804380,4693,,
3.57972434,15811532,4691,,
3.57972434,15805028,4690,,
3.574836755,15807308,4688,,
3.577280548,15806156,4687,,
3.577280548,15806684,4686,,
3.574836755,15805916,4685,,
3.572392962,15806084,4683,,
3.574836755,15805556,4682,,
3.574836755,15806348,4683,,
3.569949169,15813740,4685,,
3.567505377,15807164,4685,,
3.569949169,15806876,4683,,
3.569949169,15807284,4683,,
3.567505377,15814460,4682,,
3.569949169,15807044,4680,,
3.569949169,15806948,4680,,
3.567505377,15807596,4678,,
3.562617791,15808220,4677,,
3.565061584,15809228,4677,,
3.565061584,15811244,4676,,
3.565061584,15816404,4675,,
3.562617791,15810620,4673,,
3.560173998,15811460,4673,,
3.562617791,15803828,4671,,
3.562617791,15812420,4670,,
3.562617791,15811124,4669,,
3.560173998,15818084,4668,,
3.560173998,15812588,4666,,
3.557730206,15812132,4665,,
3.557730206,15812804,4664,,
3.560173998,15812396,4662,,
3.555286413,15813860,4661,,
3.55284262,15813284,4659,,
3.55284262,15808148,4658,,
3.555286413,15822020,4657,,
3.547955034,15821948,4655,,
3.550398827,15815636,4654,,
3.547955034,15816140,4652,,
3.547955034,15823508,4651,,
3.545511241,15815324,4649,,
3.545511241,15815876,4648,,
3.540623656,15817412,4646,,
3.543067449,15816836,4645,,
3.543067449,15824636,4644,,
3.540623656,15825500,4642,,
3.545511241,15819188,4641,,
3.538179863,15820124,4640,,
3.540623656,15819620,4638,,
3.53573607,15825044,4637,,
3.538179863,15826604,4635,,
3.53573607,15826268,4634,,
3.538179863,15811724,4633,,
3.538179863,15819740,4631,,
3.53573607,15820700,4630,,
3.53573607,15814148,4629,,
3.530848485,15814436,4628,,
