Volatge (V),Frequency (Hz),current (uA)
3.604162268,1008044,445.03
3.601718475,1007996,445.03
3.604162268,1007996,444.98
3.601718475,1008020,444.93
3.604162268,1008044,444.75
3.599274682,1007972,444.61
3.604162268,1008044,444.71
3.601718475,1007924,445.27
3.601718475,1008020,445.09
3.599274682,1008044,444.92
3.599274682,1008092,444.91
3.599274682,1007972,444.81
3.601718475,1007996,444.75
3.599274682,1007996,444.8
3.599274682,1007948,444.98
3.599274682,1007972,444.91
3.599274682,1007948,444.86
3.601718475,1008116,444.81
3.601718475,1008044,444.98
3.601718475,1007972,445.42
3.599274682,1007948,445.51
3.599274682,1007972,445.42
3.599274682,1007972,445.34
3.599274682,1007948,445.26
3.59683089,1007924,445.07
3.594387097,1007876,444.92
3.594387097,1007900,444.81
3.594387097,1007876,444.69
3.594387097,1007972,444.57
3.591943304,1007972,444.4
3.591943304,1007948,444.12
3.589499511,1007924,443.87
3.589499511,1007900,443.76
3.589499511,1007924,443.58
3.587055719,1007972,443.44
3.584611926,1007996,443.21
3.584611926,1008020,443
3.584611926,1008044,442.82
3.582168133,1008020,442.69
3.57972434,1007996,442.48
3.57972434,1008020,442.24
3.57972434,1008020,442.09
3.57972434,1007972,441.83
3.577280548,1008020,441.62
3.574836755,1008044,441.38
3.574836755,1008044,441.16
3.574836755,1008068,441.08
3.574836755,1008044,440.97
3.569949169,1008068,440.64
3.569949169,1008044,440.43
3.569949169,1007972,440.29
3.569949169,1008068,440.14
3.569949169,1007948,440.01
3.567505377,1007948,439.88
3.565061584,1007924,439.73
3.565061584,1007924,439.61
3.565061584,1007900,439.6
3.565061584,1007948,439.57
3.565061584,1007948,439.36
3.565061584,1007924,439.17
3.560173998,1007900,438.98
3.560173998,1007924,438.85
3.560173998,1007924,438.82
3.560173998,1007900,438.64
3.560173998,1007852,438.43
3.560173998,1007876,438.24
3.555286413,1007828,438
3.555286413,1007876,437.82
3.555286413,1007828,437.65
3.55284262,1007804,437.5
3.55284262,1007756,437.34
3.550398827,1007828,437.12
3.550398827,1007852,436.98
3.550398827,1007852,436.8
3.550398827,1007900,436.6
3.547955034,1007876,436.38
3.547955034,1007828,436.15
3.545511241,1007780,435.95
3.545511241,1007804,435.79
3.545511241,1007876,435.6
3.543067449,1007780,435.41
3.540623656,1007828,435.24
3.540623656,1007828,435.02
3.540623656,1007756,434.84
3.540623656,1007732,434.67
3.53573607,1007684,434.51
3.53573607,1007780,434.33
3.53573607,1007732,434.1
3.533292278,1007828,433.9
3.533292278,1007780,433.72
3.530848485,1007756,433.5
3.530848485,1007780,433.28
3.528404692,1007804,433.12
3.528404692,1007852,432.92
3.528404692,1007780,432.69
3.525960899,1007828,432.56
3.525960899,1007852,432.38
3.525960899,1007876,432.09
3.521073314,1007828,431.84
3.521073314,1007852,431.63
3.516185728,1007852,431.32
3.516185728,1007924,431.05
3.513741936,1007972,430.84
3.516185728,1007876,430.58
3.513741936,1007828,430.29
3.50885435,1007804,429.97
3.50885435,1007780,429.64
3.506410557,1007804,429.37
3.506410557,1007756,429.11
3.503966765,1007780,428.73
3.501522972,1007708,428.34
3.501522972,1007852,428.09
3.499079179,1007828,427.77
3.496635386,1007876,427.49
3.496635386,1007852,427.18
3.491747801,1007852,426.78
3.491747801,1007948,426.55
3.491747801,1007972,426.29
3.486860215,1007876,425.94
3.486860215,1007876,425.66
3.486860215,1007876,425.39
3.48197263,1007828,425.03
3.48197263,1007924,424.8
3.477085044,1007852,424.52
3.477085044,1007924,424.24
3.477085044,1007924,423.91
3.474641251,1007804,423.6
3.472197458,1007804,423.24
3.472197458,1007924,423.01
3.469753666,1007852,422.81
3.467309873,1007876,422.57
3.467309873,1007900,422.25
3.462422287,1007924,421.95
3.462422287,1007948,421.66
3.462422287,1007900,421.39
3.459978495,1007948,421.11
3.457534702,1007924,420.78
3.457534702,1007900,420.47
3.455090909,1007876,420.24
3.452647116,1007876,419.98
3.450203324,1007948,419.59
3.447759531,1007876,419.22
3.447759531,1007876,419
3.445315738,1007828,418.71
3.442871945,1007804,418.38
3.442871945,1007828,418.09
3.440428153,1007828,417.81
3.43798436,1007876,417.54
3.43798436,1007852,417.31
3.435540567,1007948,417.04
3.433096774,1007900,416.85
3.433096774,1007900,416.66
3.433096774,1007852,416.44
3.428209189,1007852,416.16
3.428209189,1007852,415.73
3.423321603,1007828,415.37
3.423321603,1007852,415.18
3.420877811,1007876,414.97
3.420877811,1007852,414.7
3.418434018,1007876,414.46
3.418434018,1007924,414.12
3.415990225,1007852,413.86
3.413546432,1007876,413.57
3.413546432,1007924,413.21
3.41110264,1007924,412.78
3.408658847,1007948,412.45
3.406215054,1007924,412.13
3.403771261,1007924,411.81
3.403771261,1007948,411.47
3.398883675,1007900,411.12
3.398883675,1007948,410.77
3.39399609,1007924,410.47
3.39399609,1007876,410.13
3.39399609,1007972,409.79
3.389108504,1007948,409.45
3.389108504,1008236,409.19
3.384220919,1008284,408.86
3.381777126,1007900,408.42
3.379333333,1007924,408.06
3.379333333,1007900,407.72
3.376889541,1007924,407.34
3.374445748,1007924,407.05
3.372001955,1007948,406.71
3.372001955,1007948,406.42
3.369558162,1007996,406.09
3.364670577,1007972,405.64
3.364670577,1008044,405.3
3.364670577,1007996,404.97
3.359782991,1007900,404.48
3.359782991,1008068,404.09
3.354895406,1007972,403.82
3.35000782,1007948,403.43
3.35000782,1007948,403.05
3.35000782,1008068,402.73
3.347564028,1007948,402.41
3.345120235,1007972,402.04
3.342676442,1007948,401.7
3.342676442,1007900,401.38
3.337788857,1007972,400.95
3.335345064,1007972,400.55
3.335345064,1007972,400.18
3.330457478,1008044,399.9
3.330457478,1008044,399.61
3.325569892,1007996,399.22
3.325569892,1007996,398.86
3.325569892,1007948,398.64
3.320682307,1007996,398.29
3.320682307,1007948,397.99
3.320682307,1007996,397.93
3.320682307,1007948,397.81
3.320682307,1007996,397.47
3.315794721,1007948,397.13
3.313350929,1007972,396.81
3.310907136,1007972,396.59
3.308463343,1008020,396.34
3.30601955,1007948,396.05
3.30601955,1007996,395.79
3.30601955,1007924,395.54
3.303575758,1007972,395.3
3.301131965,1008116,395.11
3.301131965,1008020,394.87
3.298688172,1007972,394.6
3.301131965,1007996,394.45
3.296244379,1008068,394.28
3.296244379,1007996,394.02
3.293800587,1008020,393.76
3.291356794,1008092,393.47
3.288913001,1008044,393.13
3.286469208,1008044,392.85
3.286469208,1008092,392.58
3.281581623,1008044,392.2
3.281581623,1008020,391.94
3.27913783,1008068,391.62
3.276694037,1008116,391.22
3.276694037,1008068,390.95
