Volatge (V),Frequency,Current
3.604162268,7927556,2464
3.601718475,7927796,2464
3.604162268,7927100,2464
3.599274682,7927340,2463
3.599274682,7927340,2463
3.599274682,7927628,2462
3.599274682,7927268,2462
3.59683089,7928516,2462
3.599274682,7927580,2461
3.59683089,7927292,2460
3.599274682,7927844,2459
3.594387097,7927844,2459
3.594387097,7927196,2458
3.594387097,7927076,2458
3.594387097,7927652,2457
3.591943304,7927772,2456
3.591943304,7927580,2455
3.589499511,7927988,2455
3.589499511,7928228,2455
3.589499511,7928108,2454
3.589499511,7928036,2454
3.589499511,7928300,2453
3.589499511,7928252,2452
3.589499511,7928708,2452
3.587055719,7929548,2451
3.584611926,7929140,2451
3.584611926,7929332,2450
3.584611926,7929260,2450
3.584611926,7929620,2449
3.584611926,7929956,2449
3.584611926,7929476,2449
3.582168133,7930124,2448
3.584611926,7929428,2447
3.582168133,7929476,2447
3.57972434,7929140,2446
3.57972434,7930076,2445
3.577280548,7929404,2444
3.574836755,7930124,2443
3.574836755,7929836,2443
3.574836755,7930484,2442
3.574836755,7930940,2442
3.572392962,7930724,2441
3.572392962,7930604,2441
3.569949169,7930988,2440
3.569949169,7931444,2439
3.569949169,7930988,2439
3.567505377,7931444,2437
3.567505377,7932116,2437
3.567505377,7932284,2436
3.565061584,7931732,2436
3.565061584,7931972,2436
3.565061584,7932716,2435
3.565061584,7932980,2435
3.562617791,7932860,2434
3.562617791,7932764,2433
3.560173998,7933244,2432
3.560173998,7933316,2432
3.560173998,7933676,2431
3.555286413,7933628,2430
3.555286413,7933484,2429
3.555286413,7934108,2428
3.555286413,7933628,2428
3.555286413,7934204,2427
3.55284262,7934180,2426
3.550398827,7934252,2425
3.550398827,7934180,2425
3.550398827,7935044,2424
3.550398827,7934876,2424
3.550398827,7935140,2423
3.545511241,7935644,2422
3.547955034,7935356,2422
3.545511241,7935140,2421
3.545511241,7936004,2420
3.547140436,7935300,2420
3.543067449,7936172,2419
3.540623656,7935356,2418
3.543067449,7935860,2418
3.545511241,7936076,2418
3.543067449,7935812,2417
3.543067449,7936652,2417
3.543067449,7936412,2417
3.540623656,7936988,2416
3.540623656,7937180,2415
3.53573607,7936580,2415
3.540623656,7936484,2414
3.53573607,7936460,2413
3.538179863,7936748,2413
3.53573607,7936940,2412
3.53573607,7937156,2410
3.530848485,7937460,2410
3.533292278,7936940,2410
3.530848485,7937132,2409
3.530848485,7937804,2408
3.533292278,7937924,2407
3.530848485,7938020,2407
3.530848485,7938332,2406
3.528404692,7939172,2406
3.528404692,7938140,2406
3.528404692,7939340,2404
3.525960899,7939364,2404
3.523517107,7938644,2402
3.525960899,7940012,2402
3.525960899,7939772,2402
3.523517107,7939412,2401
3.521073314,7939700,2400
3.521073314,7939172,2399
3.521073314,7939796,2398
3.518629521,7939940,2398
3.516185728,7939244,2397
3.516185728,7940156,2396
3.516185728,7940372,2395
3.513741936,7940372,2394
3.516185728,7940516,2394
3.516185728,7941308,2393
3.513741936,7941236,2393
3.513741936,7941308,2392
3.511298143,7941860,2391
3.511298143,7941620,2391
3.50885435,7941764,2390
3.506410557,7941980,2389
3.511298143,7941764,2388
3.506410557,7942052,2387
3.506410557,7942196,2387
3.503966765,7941356,2386
3.501522972,7941476,2385
3.503966765,7942556,2384
3.503966765,7942220,2383
3.501522972,7942292,2383
3.501522972,7941908,2382
3.501522972,7942124,2380
3.496635386,7942508,2379
3.499079179,7942028,2379
3.496635386,7942556,2378
3.496635386,7942772,2377
3.496635386,7942364,2376
3.491747801,7942772,2376
3.491747801,7942916,2375
3.491747801,7942532,2374
3.489304008,7942844,2372
3.486860215,7942940,2372
3.486860215,7943732,2371
3.486860215,7943516,2370
3.484416423,7943828,2368
3.484416423,7943852,2368
3.48197263,7943948,2367
3.48197263,7944020,2366
3.48197263,7944692,2365
3.479528837,7944572,2364
3.479528837,7944956,2364
3.477085044,7945460,2363
3.474641251,7945604,2362
3.477085044,7945772,2361
3.477085044,7945892,2361
3.469753666,7946252,2360
3.472197458,7945484,2358
3.469753666,7946420,2357
3.467309873,7946852,2357
3.469753666,7947428,2357
3.46486608,7947380,2356
3.467309873,7947452,2355
3.46486608,7947692,2354
3.46486608,7947740,2353
3.462422287,7948412,2353
3.462422287,7948244,2353
3.459978495,7948484,2352
3.459978495,7948772,2350
3.462422287,7948340,2349
3.459978495,7949084,2349
3.455090909,7949276,2349
3.457534702,7949348,2348
3.457534702,7950212,2347
3.452647116,7949972,2346
3.457534702,7950452,2345
3.452647116,7950276,2344
3.450203324,7950524,2343
3.447759531,7950500,2342
3.452647116,7951364,2342
3.447759531,7950980,2341
3.442871945,7951604,2340
3.442871945,7951388,2338
3.442871945,7952180,2338
3.442871945,7952588,2337
3.442871945,7952612,2336
3.43798436,7953668,2335
3.43798436,7953452,2334
3.43798436,7953236,2334
3.43798436,7953284,2333
3.435540567,7953980,2332
3.43798436,7954868,2331
3.435540567,7954820,2331
3.433096774,7955444,2330
3.433096774,7955444,2328
3.433096774,7956260,2328
3.428209189,7955444,2327
3.428209189,7955276,2325
3.428209189,7955996,2324
3.428209189,7955636,2323
3.425765396,7955900,2323
3.423321603,7955684,2321
3.423321603,7956164,2320
3.423321603,7956068,2319
3.420877811,7956980,2319
3.420877811,7957220,2317
3.418434018,7957316,2316
3.418434018,7957556,2315
3.413546432,7957652,2314
3.413546432,7958324,2312
3.413546432,7958468,2312
3.41110264,7958972,2311
